team,player_name,status,reason,expected_return
,Nikola Durisic,Out,2 Dec: Durisic (elbow) is out for Sunday's game against the 76ers.,2 Dec
,Jacob Toppin,Day-To-Day,"2 Dec: Toppin (shoulder) is out for Monday's game against the Pistons, Brad Rowland of the Locked On Podcast Network reports.",3 Dec
,Kristaps Porzingis,Out,1 Dec: Porzingis (illness) will not play in Monday's game against the Pistons.,3 Dec
,N'Faly Dante,Out,30 Nov: Dante (knee) is out for Sunday's game against the 76ers.,2 Dec
,Trae Young,Out,"30 Nov: Young (knee) will be re-evaluated by the Hawks' medical staff in two weeks, Ohm Youngmisuk of ESPN.com reports.",6 Dec
,Neemias Queta,Day-To-Day,"2 Dec: Queta (ankle) is probable for Tuesday's game against Knicks, Justin Turpin of WEEI.com reports.",2 Dec
,Derrick White,Day-To-Day,"2 Dec: White (calf) is probable for Tuesday's game against the Knicks, Justin Turpin of WEEI.com reports.",2 Dec
Boston Celtics,Ron Harper Jr.,Day-To-Day,"29 Nov: The Celtics signed Harper to a two-way contract Thursday, Shams Charania of ESPN reports.",2 Dec
Boston Celtics,Jayson Tatum,Out,"9 Oct: The Celtics have not ruled Tatum (Achilles) out for the 2025-26 season, ESPN's Shams Charania reported on the Pat McAfee Show on Thursday.",1 Apr
,Terance Mann,Day-To-Day,"2 Dec: Mann (ribs) will not play Monday against Charlotte, Brian Lewis of the New York Post reports.",3 Dec
,Cam Thomas,Out,"8 Nov: Thomas has been diagnosed with a left hamstring strain and he will be re-evaluated in 3-4 weeks, Marc J. Spears of ESPN.com reports.",18 Dec
,Haywood Highsmith,Out,"20 Oct: Highsmith (knee) experienced swelling during rehab and will re-evaluated in eight weeks, Brett Siegel of ClutchPoints.com reports.",18 Dec
,Brandon Miller,Day-To-Day,2 Dec: Miller (shoulder) is out for Monday's game against Brooklyn.,3 Dec
,Tre Mann,Day-To-Day,2 Dec: Mann (ankle) won't play Monday against the Nets.,3 Dec
,Grant Williams,Out,1 Dec: Williams (knee) has been ruled out for Monday's game against the Nets.,7 Dec
,Pat Connaughton,Out,1 Dec: Connaughton (calf) is out for Monday's game against the Nets.,3 Dec
,Josh Green,Out,1 Dec: Green (shoulder) has been ruled out for Monday's game against the Nets.,7 Dec
,Jalen Smith,Day-To-Day,2 Dec: Smith (hamstring) has been ruled out for Monday's game against the Magic.,3 Dec
,Coby White,Day-To-Day,"2 Dec: White (calf, illness) has been ruled out for Monday's game in Orlando.",3 Dec
,Kevin Huerter,Day-To-Day,"2 Dec: Huerter has been ruled out for the rest of Monday's game against the Magic due to an adductor injury, Julia Poe of the Chicago Tribune reports. He failed to score (0-3 FG, 0-2 3Pt) in six minutes prior to exiting.",3 Dec
,Zach Collins,Out,2 Dec: Collins (wrist) is out for Monday's game against the Magic.,3 Dec
,Dalen Terry,Out,2 Dec: Terry (calf) won't play Monday against the Magic.,3 Dec
,Noa Essengue,Out,1 Dec: Essengue (shoulder) won't play Monday against the Magic.,3 Dec
,Isaac Okoro,Out,1 Dec: Okoro (back) has been ruled out for Monday's game against the Magic.,3 Dec
,Darius Garland,Day-To-Day,2 Dec: Garland (rest) won't play Monday against the Pacers.,3 Dec
,Lonzo Ball,Day-To-Day,2 Dec: Ball (illness) is out for Monday's game against the Pacers.,3 Dec
,Sam Merrill,Out,2 Dec: Merrill (hand) will not play Monday against the Pacers.,3 Dec
Cleveland Cavaliers,Jarrett Allen,Out,1 Dec: The Cavaliers announced Sunday that Allen (finger) is expected to miss at least one week.,12 Dec
,Larry Nance Jr.,Out,1 Dec: An MRI revealed a Grade 1 soleus strain in Nance's right calf and he is expected to miss the next 3-4 weeks of action.,22 Dec
,Max Strus,Out,"1 Oct: Strus (foot) is no longer wearing a walking boot on Tuesday, but still has a lengthy recovery process ahead, Chris Fedor of The Cleveland Plain Dealer reports.",3 Dec
,P.J. Washington,Day-To-Day,2 Dec: Washington (ankle) has been ruled out for Monday's game against the Nuggets.,3 Dec
,Daniel Gafford,Day-To-Day,2 Dec: Gafford (ankle) is out for Monday's game against Denver.,3 Dec
Dallas Mavericks,Dereck Lively II,Out,"26 Nov: Lively (foot) will miss the next three games and will be re-evaluated in seven-to-ten days, the Mavericks announced Tuesday.",3 Dec
Dallas Mavericks,Dante Exum,Out,21 Nov: The Mavericks announced Thursday that Exum will undergo season-ending knee surgery.,1 Oct
,Kyrie Irving,Out,"29 Sep: At Media Day on Monday, Mavericks head coach Jason Kidd refuted the report that Irving (knee) is ahead of schedule in his recovery, Christian Clark reports.",1 Jan
,Julian Strawther,Out,"2 Dec: Strawther (back) remains without a timetable to return, Ryan Blackburn of MileHighSports.com reports.",11 Dec
,Aaron Gordon,Out,"23 Nov: Gordon (hamstring) will be re-evaluated in four to six weeks, Shams Charania of ESPN reports.",2 Jan
,Christian Braun,Out,"15 Nov: Christian Braun (ankle) will be re-evaluated in six weeks after suffering a left ankle sprain during Wednesday's win over the Clippers, Shams Charania of ESPN reports.",9 Jan
,Marcus Sasser,Out,2 Dec: Detroit assigned Sasser (hip) to the G League's Motor City Cruise on Monday.,12 Dec
,Duncan Robinson,Day-To-Day,"2 Dec: Robinson (ankle) won't play Monday against the Hawks, Hunter Patterson of The Athletic reports.",3 Dec
,Jimmy Butler III,Day-To-Day,2 Dec: Butler is questionable for Tuesday's game against the Thunder due to a left gluteal contusion.,2 Dec
,Trayce Jackson-Davis,Day-To-Day,2 Dec: Jackson-Davis (knee) is listed as questionable for Tuesday's game against the Thunder.,2 Dec
,Alex Toohey,Out,2 Dec: Toohey (knee) has been ruled out for Tuesday's game against the Thunder.,4 Dec
,Al Horford,Out,2 Dec: Horford (back) has been ruled out for Tuesday's game against the Thunder.,4 Dec
,Draymond Green,Day-To-Day,2 Dec: Green is probable for Tuesday's game against the Thunder due to a right foot sprain.,2 Dec
,De'Anthony Melton,Out,"29 Nov: Melton (knee) is expected to miss at least two more games, Danny Emerman of SFStandard.com reports.",4 Dec
Golden State Warriors,Stephen Curry,Out,28 Nov: The Warriors announced Wednesday that Curry (quadriceps) will be re-evaluated in one week.,6 Dec
,Steven Adams,Day-To-Day,2 Dec: Adams (rest) won't play Monday against the Jazz.,3 Dec
,Dorian Finney-Smith,Out,2 Dec: Finney-Smith (ankle) will not play Monday against the Jazz.,11 Dec
